main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
Books,Chaucer,4.5,29,[],[],8.23,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41X61VPJYKL._SX334_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Peter Ackroyd (Author),['Books' 'Literature & Fiction' 'History & Criticism'],"{""Publisher"": ""Chatto & Windus; First Edition (January 1, 2004)"", ""Language"": ""English"", ""Hardcover"": ""196 pages"", ""ISBN 10"": ""0701169850"", ""ISBN 13"": ""978-0701169855"", ""Item Weight"": ""10.1 ounces"", ""Dimensions"": ""5.39 x 0.71 x 7.48 inches""}",0701169850,,"Hardcover – Import, January 1, 2004","{'avatar': 'https://m.media-amazon.com/images/I/21Je2zja9pL._SY600_.jpg', 'name': 'Peter Ackroyd', 'about': ['Peter Ackroyd, (born 5 October 1949) is an English biographer, novelist and critic with a particular interest in the history and culture of London. For his novels about English history and culture and his biographies of, among others, William Blake, Charles Dickens, T. S. Eliot and Sir Thomas More, he won the Somerset Maugham Award and two Whitbread Awards. He is noted for the volume of work he has produced, the range of styles therein, his skill at assuming different voices and the depth of his research.', 'He was elected a fellow of the Royal Society of Literature in 1984 and appointed a Commander of the Order of the British Empire in 2003.', 'Bio from Wikipedia, the free encyclopedia.']}"
Books,Notes from a Kidwatcher,5.0,1,"[""Contains 23 selected articles by this influential writer, researcher, educator, and speaker. They're grouped around six major themes inherent in teacher education: culture and community; miscue analysis, reading strategies and comprehension; print awareness and the roots of literacy; the writing process; kidwatching; and whole language theory. No index. Annotation c. by Book News, Inc., Portland, Or.""]","['About the Author'
 ""SANDRA WILDE, Ph.D., is widely recognized for her expertise in developmental spelling and her advocacy of holistic approaches to spelling and phonics. She is Professor of Curriculum and Instruction at Portland State University in Oregon. She is best known for her work in invented spelling, phonics and miscue analysis. She specializes in showing teachers how kids' invented spellings and miscues can help us work with them in more sophisticated and learner-centered ways. Looking at what kids do as they read and write is at the heart of Sandra's presentations and workshops. She can do lively keynote presentations that highlight the interesting things that we can learn by paying close attention to students' invented spellings and miscues, as well as workshops of varying lengths that focus on student-centered teaching of spelling and phonics. She has recently begun offering workshops that focus on understanding students' miscues as a guide to appropriate instruction, p""]",3.52,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41bfTRxpMML._SX218_BO1,204,203,200_QL40_FMwebp_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Sandra Wilde (Editor),"['Books' 'Reference' 'Words, Language & Grammar']","{""Publisher"": ""Heinemann; First Edition (May 20, 1996)"", ""Language"": ""English"", ""Paperback"": ""316 pages"", ""ISBN 10"": ""0435088688"", ""ISBN 13"": ""978-0435088682"", ""Item Weight"": ""1.05 pounds"", ""Dimensions"": ""6.03 x 0.67 x 8.95 inches""}",0435088688,,First Edition,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Yetta M. Goodman', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}"
Books,Service: A Navy SEAL at War,4.7,3421,"['Marcus Luttrell, author of the #1 bestseller' 'Lone Survivor'
 ', share war stories about true American heroism from himself and other soldiers who bravely fought alongside him.'
 ""Navy SEAL Marcus Luttrell returned from his star-crossed mission in Afghanistan with his bones shattered and his heart broken. So many had given their lives to save him -- and he would have readily done the same for them. As he recuperated, he wondered why he and others, from America's founding to today, had been willing to sacrifice everything-including themselves-for the sake of family, nation, and freedom.  In""
 'Service'
 "", we follow Marcus Luttrell to Iraq, where he returns to the battlefield as a member of SEAL Team 5 to help take on the most dangerous city in the world: Ramadi, the capital of war-torn Al Anbar Province. There, in six months of high-intensity urban combat, he would be part of what has been called the greatest victory in the history of U.S. Special Operations forces. We also return to Afghanistan and Operation Redwing, where Luttrell offers powerful new details about his miraculous rescue. Throughout, he reflects on what it really means to take on a higher calling, about the men he's seen lose their lives for their country, and the legacy of those who came and bled before.  A thrilling war story,""
 'Service'
 'is also a profoundly moving tribute to the warrior brotherhood, to the belief that nobody goes it alone, and no one will be left behind.']","['Review'
 'Praise for SERVICE""An action-packed...reflective saga of contemporary military service.""―'
 'Kirkus Reviews'
 '""Marcus Luttrell, with James D. Hornfischer, has written another emotional story that the reader will not want to put down.""―'
 'American Thinker' 'About the Author' 'Marcus Luttrell'
 'became a combat-trained Navy SEAL in 2002 and served in many dangerous Special Operations assignments around the world. He is the author of the'
 'New York Times' 'bestseller' 'Lone Survivor'
 ', and is a popular corporate and organizational speaker. He lives near Houston, Texas.\xa0James D. Hornfischer\xa0is the author of four bestselling books on the U.S. Navy in World War II,'
 'The Fleet at Flood' 'Tide' ',' ""Neptune's"" 'Inferno, Ship of Ghosts,'
 'and' 'The Last Stand of the Tin Can Sailors,'
 'winner of the Samuel Eliot Morison Award. He lives in Austin, Texas.']",17.17,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41YQHDWRyGL._SX321_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}","Marcus Luttrell (Author),  James D. Hornfischer",['Books' 'Biographies & Memoirs' 'Leaders & Notable People'],"{""Publisher"": ""Little, Brown and Company; 1st edition (May 8, 2012)"", ""Language"": ""English"", ""Hardcover"": ""384 pages"", ""ISBN 10"": ""9780316185363"", ""ISBN 13"": ""978-0316185363"", ""Item Weight"": ""1.4 pounds"", ""Dimensions"": ""6.25 x 1.55 x 9.55 inches""}",0316185361,,"Hardcover – May 8, 2012","{'avatar': 'https://m.media-amazon.com/images/I/31rBoNEHiFL._SY600_.jpg', 'name': 'Marcus Luttrell', 'about': ['Petty Officer First Class Marcus Luttrell was born in Huntsville, Texas in 1975.']}"
Books,Monstrous Stories #4: The Day the Mice Stood Still,4.4,40,"[""Funny, light-hearted monster stories that are perfect for young readers, brought to us by the esteemed Dr. Roach.Jilly can't believe what she's seeing when she wakes up one seemingly normal morning. All the mice in her small town of Buffalo Bottom have gone strangely still. What could make a town full of rodents suddenly freeze up?Things only get weirder, though, when the town is suddenly visited by a flying saucer--full of talking cats! These friendly felines say they come in peace, to help rid Buffalo Bottom of its mouse problem. But when the town's cows start disappearing mysteriously, Jilly suspects the visitors may be up to no good. Now she just has to prove it.""]",[],7.43,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/614Mx0QCe7L._SX339_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Dr. Roach (Author),"['Books' ""Children's Books"" 'Science Fiction & Fantasy']","{""Publisher"": ""Scholastic Paperbacks; Reprint edition (October 29, 2013)"", ""Language"": ""English"", ""Paperback"": ""64 pages"", ""ISBN 10"": ""0545425573"", ""ISBN 13"": ""978-0545425575"", ""Reading age"": ""7 - 10 years"", ""Lexile measure"": ""590L"", ""Grade level"": ""2 - 5"", ""Item Weight"": ""1.92 ounces"", ""Dimensions"": ""5.25 x 0.2 x 7.5 inches""}",0545425573,,"Paperback – October 29, 2013",
Buy a Kindle,Parker & Knight,4.5,381,"['From REMINGTON KANE, the author of The Taken! & Tanner SeriesPARKER & KNIGHT'
 ""When beautiful, nineteen-year-old Tiffany Grace is found murdered inside the house next door, Detectives Rick Parker and Joanna Knight are brought in to investigate.What they find is a tangled web of love, lies and infidelity between the homeowners, Alex and Mandy Kent, and their young neighbors, murder victim, Tiffany Grace, and her handsome brother, Steve.As Parker wades through the Kents' marital woes, he also has to deal with his own, as his marriage comes to a close.Did Alex Kent kill Tiffany, a young woman he lusted for deeply? Or did Mandy Kent kill her, to keep her from her husband? The truth is more twisted than Parker and Knight could have imagined.""]",[],0.0,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41j6GpAqFBL.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Remington Kane (Author)   Format: Kindle Edition,"['Books' 'Mystery, Thriller & Suspense' 'Thrillers & Suspense']","{""Publication date"": ""May 18, 2014"", ""Language"": ""English"", ""File size"": ""1542 KB"", ""Simultaneous device usage"": ""Unlimited"", ""Text to Speech"": ""Enabled"", ""Screen Reader"": ""Supported"", ""Enhanced typesetting"": ""Enabled"", ""X Ray"": ""Not Enabled"", ""Word Wise"": ""Enabled"", ""Sticky notes"": ""On Kindle Scribe"", ""Print length"": ""233 pages""}",B00KFOP3RG,,Kindle Edition,"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/p5em8p7bskq0m3fr3tncs8ghcf._SY600_.jpg', 'name': 'Donald Wells', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}"
Books,"Writings from a Black Woman Living in the Land of the ""Free"": Strength, Power, Resilience",5.0,5,"[""Take a step into the modern perspective of a young black woman living in America. Tori Ruff explores the injustices and pain endured by the African American community for centuries. Through a series of writings, she speaks on topics including police brutality, racism, and discrimination. 'Writings from a Black Woman Living in the Land of the Free' takes readers on a journey of empathy and a sense of empowerment.""]",[],4.05,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/417CItk7HML._SX387_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}","Tori Ruff (Author),  Juwan Nicholson (Editor),  TBrown Media (Photographer)",['Books' 'Arts & Photography' 'History & Criticism'],"{""Publisher"": ""Independently published (December 30, 2021)"", ""Language"": ""English"", ""Paperback"": ""24 pages"", ""ISBN 13"": ""979-8528537702"", ""Item Weight"": ""3.2 ounces"", ""Dimensions"": ""7 x 0.06 x 9 inches""}",B09PHG4FQ8,,"Paperback – December 30, 2021",
Books,Child Development: A Practitioner's Guide:2nd (Second) edition,5.0,2,"['Child Development, Second EditionDouglas Davies']",[],10.68,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41b2UvkHaAL._SX331_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",aa (Author),['Books' 'Parenting & Relationships' 'Parenting'],"{""Publisher"": ""Giulford ,2004. 2nd Edition; 8082nd edition (January 1, 1994)"", ""Item Weight"": ""0.01 ounces""}",B0086HQWC4,,"Hardcover – January 1, 1994",
Books,Make: Electronics: Learning Through Discovery,4.7,1366,"['""This is teaching at its best!""'
 ""Hans Camenzind, inventor of the 555 timer (the world's most successful integrated circuit).""
 '""A fabulous book: well written, well paced, fun, and informative. I also love the sense of humor. It\'s very good at disarming the fear. And it\'s'
 'gorgeous' '. I\'ll be recommending this book highly.""'
 'Tom Igoe, author of' 'Physical Computing' 'and' 'Making Things Talk.'
 'A ""magnificent and rewarding book. ... Every step of this structured instruction is expertly illustrated with photos and crisp diagrams. . . . This really is the best way to learn.""'
 'Kevin Kelly, in' 'Cool Tools' '.The first edition of'
 'Make: Electronics'
 'established a new benchmark for introductory texts. This second edition enhances that learning experience. Using full color on every page, hundreds of photographs and diagrams convey concepts with unmatched clarity.Platt uses a hands on approach throughout. You learn by building your own simple circuits.You begin by blowing a fuse or burning out an LED to demonstrate voltage, amperage, and electrical resistance. As it says on the cover, ""Burn things out, mess things up that\'s how you learn!""The hands on approach continues with basic switching circuits. You can cut open the sealed case of a relay to see exactly what goes on inside.Unique 3D diagrams illustrate components as they are plugged into a solderless breadboard. A simple circuit reveals how a capacitor stores and releases electricity. While'
 'Make: Electronics'
 'minimizes the amount of theory that you need, it does show you how to figure out Ohm\'s Law and do the simple math to calculate the time constant of a capacitor.A buying guide shows basic tools ranging from pliers to a low cost multimeter. Components such as transistors and capacitors are shown in color photographs so that you will quickly recognize them.A simple ""finger test"" demonstrates how transistors switch or amplify current. The book then shows functional circuits that you can build to create light and sound, leading to a plan for a simple intrusion alarm.Platt includes three chapters explaining how to solder wires and build a permanent circuit. However, the skill of soldering is not essential for other projects in the book.You learn all about integrated circuit chips: how they work, what they do, how they are identified, and where you can buy them. Build your own oscillator and one shot circuits, and learn how to chain timer chips together.A simple circuit can test the speed of your reflexes. Other circuits include a combination lock for a computer, or a game in which players compete to be the first to press a button. There is a novel, simplified circuit to build electronic dice.'
 'Make: Electronics'
 'includes advice about setting up your work area, storing parts, and buying additional tools, if you decide to venture further into the field.The final section of the book explains inductance and the components that make use of it, such as loudspeakers and a simple AM radio. Finally, three chapters explain microcontrollers, with projects that can use an Arduino.A shopping guide will minimize your investment in parts for the projects. Alternatively, kits from independent vendors contain exactly the parts that you need.'
 'Ideal for Beginners'
 'This book assumes that you have no prior knowledge. It explains each concept in meticulous detail, and is friendly, patient, and fun. Positive reader feedback has been received from people ranging in age from 8 to 84. More than 200,000 copies have been sold. If you only buy one book about electronics, this should be the one.']","['From the Author' 'Make: Electronics'
 'is the book that I wish I had owned when I was a young teenager, struggling to learn the basics of electricity and electronics. My goal is to give readers today an easier learning experience than the one I had to go through. And I want it to be fun.'
 'About the Author'
 'Charles Platt is a Contributing Editor and regular columnist for Make magazine, where he writes about electronics. He is the author of the highly successful introductory hands-on book, Make:Electronics, and is writing a sequel to that book in addition to volumes 2 and 3 of the Encyclopedia of Electronic Components. Platt was a Senior Writer for Wired magazine, and has written various computer books. As a prototype designer, he created semi-automated rapid cooling devices with medical applications, and air-deployable equipment for first responders. He was the sole author of four mathematical-graphics software packages, and has been fascinated by electronics since he put together a telephone answering machine from a tape recorder and military-surplus relays at age 15. He lives in a Northern Arizona wilderness area, where he has his own workshop for prototype fabrication and projects that he writes about for Make magazine.']",13.43,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51j48HH1P9L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Charles Platt (Author),['Books' 'Engineering & Transportation' 'Engineering'],"{""Publisher"": ""Make Community, LLC; 2nd edition (September 22, 2015)"", ""Language"": ""English"", ""Paperback"": ""352 pages"", ""ISBN 10"": ""9781680450262"", ""ISBN 13"": ""978-1680450262"", ""Reading age"": ""11 - 17 years"", ""Item Weight"": ""2.91 pounds"", ""Dimensions"": ""8 x 0.5 x 10 inches""}",1680450263,,2nd Edition,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Charles Platt', 'about': ['Charles Platt is a Contributing Editor and regular columnist for Make magazine, where he writes about electronics. He is the author of the highly successful introductory hands-on book, Make: Electronics, and the sequel, Make: More Electronics.', 'His book Easy Electronics claims to be the easiest available introduction to the field. His Make: Tools provides a hands-on introduction to workshop tools.', ""Platt's ambitious reference work, Encyclopedia of Electronic Components, consists of three volumes, two of which were coauthored with physicist Fredrik Jannson."", 'Platt was a Senior Writer for Wired magazine. As a prototype designer, he created semi-automated rapid cooling devices with medical applications, and air-deployable equipment for first responders. He was the sole author of four mathematical-graphics software packages, and has been fascinated by electronics since he put together a telephone answering machine from a tape recorder and military-surplus relays at age 15. He lives in a Northern Arizona wilderness area, where he has his own workshop for prototype fabrication and projects that he writes about for Make magazine.']}"
Books,Reunion: The Children of Lauderdale Park,4.9,12,"['1940-Sadie, Jacob, Seth, and Hattie Lauderdale spend the afternoon playing hide-and-seek in the hot August sun.That night, a storm moves in. A storm unlike any other the family has ever witnessed. A storm that releases abundant lightning, and sets the house on fire.A storm that takes lives.Now, seventy-four years later, a park is built on the property in commemoration of the lost souls. A playground is placed on the site where the house once stood. Something that will bring laughter and happiness.But something’s not right with the park. Someone is there when no one is there. The shadows of the past begin to emerge . . .Although they died many years ago, the children still want to play.And at Lauderdale Park . . . they will.']",[],14.0,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/313xN7wqDQL._SX331_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Pol McShane (Author),['Books' 'Literature & Fiction' 'Genre Fiction'],"{""Publisher"": ""Independently published (September 25, 2019)"", ""Language"": ""English"", ""Paperback"": ""367 pages"", ""ISBN 10"": ""1694621731"", ""ISBN 13"": ""978-1694621733"", ""Item Weight"": ""1.38 pounds"", ""Dimensions"": ""6 x 0.92 x 9 inches""}",1694621731,,"Paperback – September 25, 2019",
Books,Four Centuries of American Education,4.8,133,"['For four centuries, religion, morality, and knowledge formed the core elements of American education, but in recent decades, a secularized approach to education has gained prominence. This title discusses the effects of both religious and secular philosophies and presents stories of early American heroes in the field of education.']","['About the Author'
 ""David Barton is the founder of WallBuilders, an organization dedicated to presenting America's forgotten history and heroes, with an emphasis on our moral, religious, and constitutional heritage. David is author of numerous best-selling works and a national award-winning historian who brings a fresh perspective to history.""]",6.99,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/415r5RJ7alL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",David Barton (Author),['Books' 'Education & Teaching' 'Schools & Teaching'],"{""Publisher"": ""WallBuilder Press; First Edition (November 8, 2004)"", ""Language"": ""English"", ""Paperback"": ""51 pages"", ""ISBN 10"": ""1932225323"", ""ISBN 13"": ""978-1932225327"", ""Item Weight"": ""3.52 ounces""}",1932225323,,"Paperback – November 8, 2004","{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/qfqm5r5qdmqd4fdqvn24c8ra7j._SY600_.jpg', 'name': 'David Barton', 'about': [""David Barton is the founder of WallBuilders, an organization dedicated to presenting America's forgotten history and heroes, with an emphasis on our moral, religious, and constitutional heritage. David is author of numerous best-selling works and a national award-winning historian who brings a fresh perspective to history.""]}"
